Symbol,Description,Price,Change %,Volume,Rel Volume,Market cap,P/E,"EPS dilTTM","EPS dil growthTTM YoY","Div yield %TTM",Sector,Analyst Rating
AME,"AMETEK, Inc.D",197.38 USD,0.0083,1.05 M,0.82,45.66 B USD,34.4,5.74 USD,0.0392,0.55%,Producer manufacturing,Buy
AMP,"Ameriprise Financial, Inc.D",572.07 USD,0.0033,514.02 K,1.12,55.5 B USD,21.96,26.05 USD,0.0599,0.99%,Finance,Buy
APD,"Air Products and Chemicals, Inc.D",331.83 USD,0.009,2.2 M,1.36,73.79 B USD,19.31,17.18 USD,0.6691,2.13%,Process industries,Buy
APO,"Apollo Global Management, Inc. (New)D",167.56 USD,0.0154,3.97 M,1.03,94.81 B USD,17.63,9.50 USD,0.9995,1.07%,Finance,Buy
ARES,Ares Management CorporationD,175.52 USD,0.0029,940.89 K,0.87,34.82 B USD,78.84,2.23 USD,0.0382,2.03%,Finance,Buy
ARLP,"Alliance Resource Partners, L.P.D",28.49 USD,0.0219,534.57 K,1.35,3.65 B USD,8.08,3.53 USD,−36.52%,9.83%,Energy minerals,Strong buy
AROC,"Archrock, Inc.D",25.86 USD,0.0047,1.5 M,1.11,4.53 B USD,28.48,0.91 USD,0.7378,2.51%,Industrial services,Strong buy
AS,"Amer Sports, Inc.D",24.30 USD,0.0257,4.16 M,1.35,12.28 B USD,—,−0.07 USD,0.8658,0.00%,Consumer durables,Strong buy
ATLC,Atlanticus Holdings CorporationD,55.16 USD,0.0158,67.95 K,1.39,813 M USD,12.4,4.45 USD,0.0803,0.00%,Finance,Buy
ATO,Atmos Energy CorporationD,150.05 USD,−0.14%,538.31 K,0.59,23.32 B USD,21.93,6.84 USD,0.1148,2.15%,Utilities,Buy
AVPT,"AvePoint, Inc.D",18.57 USD,0.0148,2.26 M,1.27,3.48 B USD,—,−0.04 USD,0.7935,0.00%,Technology services,Buy
AWI,Armstrong World Industries IncD,159.08 USD,0.0127,175.42 K,0.99,6.93 B USD,28.07,5.67 USD,0.1325,0.70%,Producer manufacturing,Buy
AXON,"Axon Enterprise, Inc.D",636.95 USD,0.009,699.1 K,0.55,48.57 B USD,164.94,3.86 USD,0.9735,0.00%,Electronic technology,Strong buy
AXP,American Express CompanyD,301.30 USD,0.0283,3.79 M,1.61,212.25 B USD,22.16,13.60 USD,0.2747,0.90%,Finance,Neutral
AXS,Axis Capital Holdings LimitedD,88.75 USD,0.0073,459.93 K,1.16,7.42 B USD,12.33,7.20 USD,0.1514,1.98%,Finance,Buy
AZEK,The AZEK Company Inc.D,50.98 USD,0.0235,2.79 M,1.88,7.29 B USD,49.02,1.04 USD,1.403,0.00%,Producer manufacturing,Buy
AZPN,"Aspen Technology, Inc.D",250.85 USD,0.0095,502.77 K,0.98,15.87 B USD,—,−0.57 USD,0.7209,0.00%,Technology services,Buy
AZZ,AZZ Inc.D,95.54 USD,0.0014,278.31 K,1.33,2.85 B USD,111.57,0.86 USD,−69.00%,0.71%,Process industries,Buy
BAC,Bank of America CorporationD,47.00 USD,0.0116,38 M,1.03,360.63 B USD,17.09,2.75 USD,−22.90%,2.09%,Finance,Buy
BANC,"Banc of California, Inc.D",16.95 USD,0.0361,3.11 M,1.39,2.86 B USD,—,−4.31 USD,−346.31%,2.36%,Finance,Buy
BAP,Credicorp Ltd.D,197.32 USD,−0.67%,316.99 K,1.4,15.69 B USD,11.31,17.44 USD,0.0257,4.70%,Finance,Buy
BE,Bloom Energy CorporationD,25.76 USD,0.076,10.58 M,0.55,5.89 B USD,—,−0.58 USD,0.6614,0.00%,Producer manufacturing,Buy
BILL,"BILL Holdings, Inc.D",91.51 USD,0.017,1.44 M,0.54,9.47 B USD,—,−0.23 USD,0.8585,0.00%,Technology services,Buy
BJ,"BJ's Wholesale Club Holdings, Inc.D",96.74 USD,0.0426,2.96 M,1.58,12.83 B USD,23.22,4.17 USD,0.1117,0.00%,Retail trade,Buy
BKH,Black Hills CorporationD,64.31 USD,0.0161,520.03 K,0.97,4.6 B USD,17.29,3.72 USD,−3.45%,4.00%,Utilities,Neutral
BKNG,Booking Holdings Inc. Common StockD,"5,177.15 USD",−0.65%,246.74 K,1.08,171.35 B USD,35.13,147.38 USD,0.0264,0.51%,Consumer services,Buy
BKU,"BankUnited, Inc.D",42.72 USD,0.022,669.45 K,0.79,3.19 B USD,17.54,2.44 USD,−16.98%,2.67%,Finance,Neutral
BOSC,B.O.S. Better Online SolutionsD,3.35 USD,0.0121,20.89 K,0.37,19.3 M USD,9.93,0.34 USD,−6.28%,0.00%,Electronic technology,—
BR,"Broadridge Financial Solutions, Inc.D",230.24 USD,0.0122,943.6 K,1.78,26.91 B USD,39.84,5.78 USD,0.0256,1.42%,Technology services,Neutral
BRBR,"BellRing Brands, Inc.D",78.60 USD,0.0276,1.34 M,1.07,10.12 B USD,42.14,1.87 USD,0.5102,0.00%,Consumer non-durables,Buy
BRKH,BurTech Acquisition Corp.D,11.41 USD,0.0009,2.12 K,0.36,173.01 M USD,—,−0.12 USD,−254.56%,0.00%,Finance,—
BSIG,BrightSphere Investment Group Inc.D,30.97 USD,0.0144,164.87 K,0.68,1.16 B USD,18.85,1.64 USD,−4.71%,0.13%,Finance,Neutral
BSX,Boston Scientific CorporationD,90.00 USD,−1.64%,5.57 M,0.97,132.64 B USD,74.44,1.21 USD,0.4809,0.00%,Health technology,Buy
BURL,"Burlington Stores, Inc.D",286.17 USD,0.0488,1.48 M,1.75,18.22 B USD,43.05,6.65 USD,0.6354,0.00%,Retail trade,Strong buy
BVFL,"BV Financial, Inc.D",16.78 USD,0.0364,41.8 K,0.61,194.61 M USD,14.08,1.19 USD,−33.46%,0.00%,Finance,—
BWFG,"Bankwell Financial Group, Inc.D",33.20 USD,0.0241,11.78 K,0.49,260.9 M USD,17.07,1.95 USD,−58.01%,2.41%,Finance,Strong buy
BX,Blackstone Inc.D,199.05 USD,0.026,4.5 M,1.57,241.42 B USD,68.43,2.91 USD,0.2188,1.73%,Finance,Neutral
BYRN,"Byrna Technologies, Inc.D",21.31 USD,0.0492,527.8 K,0.86,479.03 M USD,225.98,0.09 USD,—,0.00%,Electronic technology,Strong buy
C,"Citigroup, Inc.D",69.84 USD,0.0129,16.67 M,1.2,132.09 B USD,20.17,3.46 USD,−45.05%,3.08%,Finance,Buy
CALM,"Cal-Maine Foods, Inc.D",95.96 USD,0.0019,379.99 K,0.88,4.68 B USD,10.99,8.73 USD,−32.71%,3.03%,Process industries,Buy
CASY,"Caseys General Stores, Inc.D",427.88 USD,0.0276,274.82 K,1.39,15.88 B USD,31.14,13.74 USD,0.1133,0.42%,Retail trade,Buy
CBFV,"CB Financial Services, Inc.D",30.00 USD,0.0033,1.85 K,0.21,153.71 M USD,6.73,4.46 USD,0.6594,3.33%,Finance,Neutral
CBSH,"Commerce Bancshares, Inc.D",73.70 USD,0.0263,588.15 K,1.23,9.45 B USD,19.18,3.84 USD,0.012,1.43%,Finance,Neutral
CCB,Coastal Financial CorporationD,76.69 USD,0.0181,61.24 K,0.74,1.04 B USD,25.79,2.97 USD,−16.81%,0.00%,Finance,Strong buy
CCRD,CoreCard CorporationD,19.71 USD,0.0568,86.5 K,1.68,155.73 M USD,39.9,0.49 USD,0.0774,0.00%,Technology services,Neutral
CEVA,"CEVA, Inc.D",30.44 USD,0.0617,363.49 K,2.15,719.2 M USD,—,−0.14 USD,0.7567,0.00%,Electronic technology,Strong buy
CHD,"Church & Dwight Company, Inc.D",111.90 USD,−0.31%,1.71 M,1.07,27.42 B USD,50.26,2.23 USD,0.2698,1.00%,Consumer non-durables,Neutral
CHEF,"The Chefs' Warehouse, Inc.D",44.74 USD,0.0201,400.93 K,1.32,1.77 B USD,39.56,1.13 USD,1.7898,0.00%,Distribution services,Strong buy
CHH,"Choice Hotels International, Inc.D",149.64 USD,0.0023,223.9 K,0.68,7.02 B USD,28.62,5.23 USD,−5.61%,0.77%,Consumer services,Neutral
CINF,Cincinnati Financial CorporationD,156.47 USD,0.0105,391.56 K,0.86,24.46 B USD,8.04,19.46 USD,0.8407,2.03%,Finance,Buy
CLX,Clorox Company (The)D,169.30 USD,0.0009,995.07 K,0.82,20.96 B USD,59.26,2.86 USD,3.1497,2.86%,Consumer non-durables,Neutral
CMI,Cummins Inc.D,372.62 USD,0.0102,410 K,0.71,51.12 B USD,24.74,15.06 USD,−23.26%,1.84%,Producer manufacturing,Neutral
CNP,"CenterPoint Energy, Inc (Holding Co)D",31.93 USD,0.0063,4.9 M,0.97,20.81 B USD,21.16,1.51 USD,0.1977,2.51%,Utilities,Neutral
CNX,CNX Resources CorporationD,41.09 USD,0.0111,1.53 M,0.66,6.13 B USD,12.93,3.18 USD,−73.18%,0.00%,Energy minerals,Sell
COFS,"ChoiceOne Financial Services, Inc.D",36.75 USD,0.0068,36.99 K,1.19,329.19 M USD,11.63,3.16 USD,0.0512,2.94%,Finance,Strong buy
COST,Costco Wholesale CorporationD,964.01 USD,0.0087,2.08 M,1.02,427.13 B USD,58.2,16.56 USD,0.17,0.45%,Retail trade,Buy
CPAY,"Corpay, Inc.D",379.87 USD,0.0117,299.93 K,0.51,26.48 B USD,27.09,14.02 USD,0.0996,0.00%,Commercial services,Buy
CPF,Central Pacific Financial Corp NewD,32.17 USD,0.0255,251.3 K,0.98,870.67 M USD,15.33,2.10 USD,−10.91%,3.23%,Finance,Buy
CPK,Chesapeake Utilities CorporationD,132.32 USD,0.0148,119.66 K,1.31,3.01 B USD,26.9,4.92 USD,−0.34%,1.86%,Utilities,Buy
CPRT,"Copart, Inc.D",62.70 USD,0.1019,9.91 M,2.26,60.4 B USD,43.97,1.43 USD,0.043,0.00%,Retail trade,Buy
CR,Crane CompanyD,184.36 USD,0.0066,285.61 K,1.25,10.55 B USD,40.72,4.53 USD,−30.48%,0.43%,Electronic technology,Buy
CRGY,Crescent Energy CompanyD,15.28 USD,0.0066,2.69 M,1.28,3.49 B USD,24.93,0.61 USD,−27.32%,3.14%,Energy minerals,Strong buy
CRS,Carpenter Technology CorporationD,190.97 USD,0.0568,1.08 M,2.08,9.52 B USD,42.53,4.49 USD,1.085,0.42%,Non-energy minerals,Buy
CRVL,CorVel Corp.D,370.44 USD,0.0285,62.11 K,1.49,6.34 B USD,78.74,4.70 USD,0.0961,0.00%,Finance,—
CTLT,"Catalent, Inc.D",60.98 USD,0.0221,4.87 M,3.33,11.07 B USD,—,−2.27 USD,0.5854,0.00%,Health technology,Neutral
CVBF,CVB Financial CorporationD,23.83 USD,0.0276,846.85 K,1.07,3.33 B USD,16.75,1.42 USD,−16.82%,3.36%,Finance,Buy
CVCO,"Cavco Industries, Inc.D",512.91 USD,0.0384,69.95 K,1.42,4.16 B USD,29.01,17.68 USD,−19.99%,0.00%,Consumer durables,Buy
CVNA,Carvana Co.D,259.36 USD,0.0442,3.88 M,2.07,53.85 B USD,"30,876.19",0.01 USD,—,0.00%,Retail trade,Buy
CWST,"Casella Waste Systems, Inc.D",112.56 USD,0.011,317.89 K,1,7.13 B USD,969.51,0.12 USD,−82.07%,0.00%,Industrial services,Buy
CZFS,"Citizens Financial Services, Inc.D",72.74 USD,0.0262,39.8 K,1.5,346.22 M USD,12.62,5.76 USD,0.3604,2.67%,Finance,Strong buy
CZWI,"Citizens Community Bancorp, Inc.D",16.10 USD,0.0307,41.22 K,0.89,161.55 M USD,11.33,1.42 USD,0.0581,1.99%,Finance,Strong buy
DCOM,"Dime Community Bancshares, Inc.D",36.32 USD,0.0377,557.26 K,1.18,1.59 B USD,24.27,1.50 USD,−48.41%,2.75%,Finance,Strong buy
DDOG,"Datadog, Inc.D",154.83 USD,0.0763,13.88 M,2.25,52.6 B USD,286.62,0.54 USD,—,0.00%,Technology services,Strong buy
DE,Deere & CompanyD,446.65 USD,0.0208,2.2 M,1.38,122.2 B USD,17.45,25.60 USD,−26.12%,1.32%,Producer manufacturing,Buy
DECK,Deckers Outdoor CorporationD,192.15 USD,0.0563,3.06 M,1.85,29.19 B USD,33.82,5.68 USD,0.4706,0.00%,Consumer non-durables,Buy
DGX,Quest Diagnostics IncorporatedD,163.59 USD,−0.18%,596.46 K,0.58,18.26 B USD,21.96,7.45 USD,0.1175,1.81%,Health services,Buy
DOV,Dover CorporationD,204.74 USD,0.0111,598.6 K,0.92,28.09 B USD,18.32,11.17 USD,0.5358,1.00%,Producer manufacturing,Buy
DSP,Viant Technology Inc.D,18.72 USD,−1.58%,318.03 K,0.92,1.18 B USD,334.29,0.06 USD,—,0.00%,Technology services,Strong buy
DTM,"DT Midstream, Inc.D",108.56 USD,0.0014,902.84 K,0.8,10.94 B USD,26.35,4.12 USD,0.1546,2.67%,Industrial services,Neutral
DUOL,"Duolingo, Inc.D",351.97 USD,0.0304,563.4 K,1.04,15.48 B USD,194.1,1.81 USD,—,0.00%,Technology services,Buy
EA,Electronic Arts Inc.D,166.67 USD,−0.77%,1.64 M,0.87,43.71 B USD,42.8,3.89 USD,0.0745,0.46%,Technology services,Buy
EAT,"Brinker International, Inc.D",125.62 USD,0.0154,1.34 M,1.07,5.58 B USD,30.7,4.09 USD,0.319,0.00%,Consumer services,Neutral
EDR,"Endeavor Group Holdings, Inc.D",29.78 USD,0.0078,823.77 K,0.78,20.37 B USD,—,−1.97 USD,−449.13%,0.81%,Finance,Neutral
EE,"Excelerate Energy, Inc.D",30.57 USD,0.0049,277.77 K,0.86,3.25 B USD,30.64,1.00 USD,0.1538,0.33%,Utilities,Buy
ENLC,"EnLink Midstream, LLCD",15.75 USD,0.0051,1.96 M,1.08,7.2 B USD,68.36,0.23 USD,−63.88%,3.32%,Industrial services,Neutral
EPD,Enterprise Products Partners L.P.D,32.82 USD,0.0145,3.98 M,0.99,71.14 B USD,12.31,2.67 USD,0.0874,6.34%,Industrial services,Buy
EQBK,"Equity Bancshares, Inc.D",49.08 USD,0.0307,42.91 K,1.07,750.41 M USD,44.03,1.11 USD,−63.06%,1.04%,Finance,Buy
ET,Energy Transfer LPD,19.07 USD,0.0053,22.17 M,1,65.29 B USD,14.03,1.36 USD,0.2815,6.63%,Industrial services,Strong buy
ETN,"Eaton Corporation, PLCD",377.41 USD,0.0174,2.41 M,1.3,149.15 B USD,40.14,9.40 USD,0.2589,0.98%,Producer manufacturing,Buy
ETON,"Eton Pharmaceuticals, Inc.D",11.23 USD,0.0447,422.56 K,1.24,290.14 M USD,—,−0.21 USD,−352.07%,0.00%,Health technology,Strong buy
EVRG,"Evergy, Inc.D",64.26 USD,−0.46%,1.9 M,0.93,14.78 B USD,17.36,3.70 USD,0.2521,4.00%,Utilities,Buy
EVRI,Everi Holdings Inc.D,13.44 USD,0.0037,742.51 K,1.62,1.16 B USD,90.38,0.15 USD,−87.24%,0.00%,Consumer services,Neutral
EWBC,"East West Bancorp, Inc.D",110.08 USD,0.0304,886.48 K,1.08,15.26 B USD,13.89,7.93 USD,−10.59%,1.93%,Finance,Strong buy
EZPW,"EZCORP, Inc.D",12.60 USD,0.0422,1.53 M,2.8,686.26 M USD,11.42,1.10 USD,1.5424,0.00%,Finance,Buy
FCNCA,"First Citizens BancShares, Inc.D","2,353.08 USD",0.0124,93.17 K,1.07,32.53 B USD,13.48,174.52 USD,−77.24%,0.28%,Finance,Buy
FDUS,Fidus Investment CorporationD,20.97 USD,0.0096,157.34 K,0.67,711.19 M USD,7.59,2.76 USD,0.2758,8.20%,Finance,Buy
FG,"F&G Annuities & Life, Inc.D",48.30 USD,0.0255,56.73 K,0.96,6.09 B USD,—,−0.13 USD,−111.22%,1.74%,Finance,Neutral
FGBI,"First Guaranty Bancshares, Inc.D",13.48 USD,0.0377,9.93 K,0.77,168.56 M USD,16.1,0.84 USD,−15.31%,4.15%,Finance,Neutral
FHN,First Horizon CorporationD,20.93 USD,0.0377,7.13 M,1.13,11.1 B USD,15.21,1.38 USD,−17.66%,2.87%,Finance,Buy
FI,"Fiserv, Inc.D",221.56 USD,0.0191,2.88 M,1.27,126.05 B USD,42.74,5.18 USD,0.0847,0.00%,Finance,Buy
FIBK,"First Interstate BancSystem, Inc.D",34.39 USD,0.0166,621.69 K,1.29,3.59 B USD,15.09,2.28 USD,−15.83%,5.47%,Finance,Neutral
FISI,"Financial Institutions, Inc.D",27.90 USD,0.016,42.87 K,1.16,431.73 M USD,8.78,3.18 USD,−4.04%,4.30%,Finance,Neutral
FIX,"Comfort Systems USA, Inc.D",491.06 USD,0.0022,411.5 K,1.23,17.48 B USD,37.56,13.07 USD,0.6347,0.22%,Industrial services,Buy
FLD,FTAC Emerald Acquisition Corp.D,11.35 USD,0.0328,1.59 M,16.83,162.86 M USD,—,−0.08 USD,"−1,429.63%",0.00%,Finance,—
FLEX,Flex Ltd.D,41.30 USD,0.019,60.95 M,14.46,16.02 B USD,18.32,2.25 USD,0.3045,0.00%,Electronic technology,Strong buy
FLS,Flowserve CorporationD,61.00 USD,0.0158,3.08 M,2.71,8.01 B USD,30.13,2.02 USD,0.0865,1.36%,Producer manufacturing,Buy
FLUT,Flutter Entertainment plcD,275.52 USD,0.033,2.33 M,1.04,49.06 B USD,—,—,—,0.00%,Consumer services,Strong buy
FNB,F.N.B. CorporationD,17.15 USD,0.0233,2.99 M,1.53,6.17 B USD,15.64,1.10 USD,−29.82%,2.80%,Finance,Strong buy
FOUR,"Shift4 Payments, Inc.D",109.78 USD,0.0046,1.15 M,0.32,9.89 B USD,59.52,1.84 USD,0.1012,0.00%,Commercial services,Strong buy
FOX,Fox CorporationD,44.37 USD,0.0057,878.85 K,0.59,20.81 B USD,10.84,4.09 USD,1.0081,1.19%,Consumer services,Buy
FRPH,"FRP Holdings, Inc.D",32.48 USD,0.0246,73.38 K,2.12,618.11 M USD,81.08,0.40 USD,0.4626,0.00%,Finance,—
FSFG,"First Savings Financial Group, Inc.D",29.22 USD,0.0076,29.43 K,1.02,201.14 M USD,14.75,1.98 USD,0.6724,2.02%,Finance,Buy
FSK,FS KKR Capital Corp.D,21.77 USD,0.0107,1.04 M,0.8,6.1 B USD,11.55,1.89 USD,−21.40%,12.86%,Finance,Buy
FTAI,FTAI Aviation Ltd.D,173.71 USD,−0.71%,1.2 M,1.26,17.81 B USD,—,−0.10 USD,−108.54%,0.69%,Electronic technology,Strong buy
FTDR,"Frontdoor, Inc.D",58.46 USD,0.0178,543.57 K,1.21,4.43 B USD,19.44,3.01 USD,0.4217,0.00%,Consumer durables,Buy
FTI,TechnipFMC plcD,30.83 USD,0.027,3.48 M,1.1,13.12 B USD,20.29,1.52 USD,—,0.65%,Industrial services,Buy
FULT,Fulton Financial CorporationD,21.61 USD,0.0174,1.32 M,0.91,3.93 B USD,13.63,1.59 USD,−8.79%,3.15%,Finance,Neutral
FUSB,"First US Bancshares, Inc.D",12.70 USD,0.004,19.68 K,2.9,72.59 M USD,9.08,1.40 USD,0.0592,1.57%,Finance,—
FVRR,Fiverr International Ltd.D,32.11 USD,0.0088,611.25 K,0.74,1.13 B USD,122.93,0.26 USD,—,0.00%,Technology services,Buy
GATX,GATX CorporationD,161.59 USD,0.0169,252.36 K,1.62,5.74 B USD,21.47,7.53 USD,0.1246,1.42%,Transportation,Buy
GDDY,GoDaddy Inc.D,196.35 USD,0.0173,1.23 M,0.97,27.57 B USD,15.18,12.94 USD,4.5685,0.00%,Technology services,Buy
GEF,Greif Inc.D,71.30 USD,0.0268,171.91 K,0.77,3.46 B USD,15.49,4.60 USD,−31.09%,2.95%,Process industries,Buy
GFF,Griffon CorporationD,82.96 USD,0.0207,473.41 K,0.62,3.97 B USD,19.59,4.24 USD,2.0303,0.72%,Producer manufacturing,Strong buy
GHM,Graham CorporationD,44.65 USD,0.03,67.22 K,0.66,486.24 M USD,63.31,0.71 USD,1.5788,0.00%,Producer manufacturing,Strong buy
GKOS,Glaukos CorporationD,144.00 USD,0.0225,549 K,1.37,7.94 B USD,—,−2.96 USD,−10.22%,0.00%,Health technology,Buy
GLP,Global Partners LPD,53.01 USD,0.0224,78.71 K,1.19,1.8 B USD,16.03,3.31 USD,−14.88%,5.31%,Distribution services,Buy
GMED,"Globus Medical, Inc.D",84.72 USD,−0.22%,966.8 K,0.81,11.54 B USD,127.8,0.66 USD,−57.13%,0.00%,Health technology,Buy
GNTY,"Guaranty Bancshares, Inc.D",37.80 USD,0.028,21.05 K,1.23,431.84 M USD,15.91,2.38 USD,−12.42%,2.51%,Finance,Buy
GNW,Genworth Financial IncD,7.77 USD,0.0197,3.53 M,1.14,3.32 B USD,38.01,0.20 USD,−75.09%,0.00%,Finance,Neutral
GRDN,"Guardian Pharmacy Services, Inc.D",23.08 USD,0.0458,162.81 K,0.91,1.46 B USD,—,—,—,0.00%,Retail trade,Strong buy
GSHD,"Goosehead Insurance, Inc.D",126.34 USD,0.034,206.16 K,0.89,4.69 B USD,173.71,0.73 USD,0.6282,0.00%,Finance,Buy
GTES,Gates Industrial Corporation plcD,21.99 USD,0.0281,3.06 M,1.07,5.6 B USD,26.41,0.83 USD,−9.25%,0.00%,Producer manufacturing,Buy
GTLS,"Chart Industries, Inc.D",183.80 USD,0.0438,1.1 M,1.31,7.87 B USD,51.77,3.55 USD,—,0.00%,Producer manufacturing,Strong buy
GVA,Granite Construction IncorporatedD,99.29 USD,0.011,334.04 K,0.72,4.34 B USD,48.51,2.05 USD,2.47,0.52%,Industrial services,Buy
GWRE,"Guidewire Software, Inc.D",202.82 USD,0.0148,500.81 K,0.67,16.94 B USD,—,−0.08 USD,0.9377,0.00%,Technology services,Buy
HAFC,Hanmi Financial CorporationD,26.55 USD,0.0311,161.72 K,0.88,801.71 M USD,12.77,2.08 USD,−29.30%,3.77%,Finance,Buy
HAIA,Healthcare AI Acquisition Corp.D,11.50 USD,−0.43%,5.7 K,2.73,68.8 M USD,92.37,0.12 USD,−55.23%,0.00%,Finance,—
HBAN,Huntington Bancshares IncorporatedD,17.89 USD,0.0153,15.16 M,1.05,25.99 B USD,17.37,1.03 USD,−31.89%,3.47%,Finance,Buy
HEI,Heico CorporationD,279.02 USD,0.006,366.47 K,0.67,33.36 B USD,81.76,3.41 USD,0.1901,0.08%,Electronic technology,Buy
HIPO,Hippo Holdings Inc.D,34.01 USD,0.0608,286.62 K,0.94,828.47 M USD,—,−5.21 USD,0.5862,0.00%,Finance,Buy
HOMB,"Home BancShares, Inc.D",31.66 USD,0.0296,876.11 K,0.79,6.29 B USD,16.38,1.93 USD,−6.96%,2.32%,Finance,Buy
HQY,"HealthEquity, Inc.D",104.25 USD,−0.38%,626.38 K,0.74,9.1 B USD,86.85,1.20 USD,7.0992,0.00%,Finance,Strong buy
HUBG,"Hub Group, Inc.D",51.01 USD,0.0212,749.44 K,0.92,3.13 B USD,28.97,1.76 USD,−47.47%,0.74%,Transportation,Neutral
HUBS,"HubSpot, Inc.D",742.61 USD,0.0314,653.47 K,1.05,38.34 B USD,—,−0.28 USD,0.922,0.00%,Technology services,Buy
IBKR,"Interactive Brokers Group, Inc.D",191.62 USD,−0.05%,1.59 M,1.4,80.96 B USD,29.8,6.43 USD,0.1708,0.37%,Finance,Buy
IDA,"IDACORP, Inc.D",118.91 USD,0.0009,415.16 K,1.04,6.33 B USD,22.02,5.40 USD,0.0079,2.79%,Utilities,Buy
IGIC,International General Insurance Holdings Ltd.D,25.98 USD,−0.15%,227.11 K,1.35,1.17 B USD,8.53,3.04 USD,0.2974,0.27%,Finance,Strong buy
IGTA,Inception Growth Acquisition LimitedD,11.75 USD,0.006,270,0.01,45.84 M USD,89.76,0.13 USD,0.5809,0.00%,Finance,—
IMAX,Imax CorporationD,25.19 USD,0.0194,621.62 K,1.35,1.33 B USD,58.38,0.43 USD,−5.87%,0.00%,Consumer durables,Buy
INAQ,Insight Acquisition Corp.D,10.84 USD,0.0494,29.09 K,15.28,70.67 M USD,—,−0.52 USD,−776.23%,0.00%,Finance,—
IOT,Samsara Inc.D,56.35 USD,0.0268,3.27 M,1.3,31.35 B USD,—,−0.49 USD,−6.07%,0.00%,Technology services,Buy
ISRG,"Intuitive Surgical, Inc.D",547.87 USD,−0.50%,1.38 M,0.95,195.14 B USD,88.06,6.22 USD,0.4652,0.00%,Health technology,Buy
ISRL,Israel Acquisitions CorpD,11.28 USD,0.00%,9.01 K,0.31,144.54 M USD,45.07,0.25 USD,0.1664,0.00%,Finance,—
ITIC,Investors Title CompanyD,282.90 USD,0.0046,16.52 K,1.35,533.01 M USD,18.73,15.11 USD,0.2245,0.65%,Finance,—
ITT,ITT Inc.D,158.38 USD,0.0188,314.06 K,0.92,12.91 B USD,27.03,5.86 USD,0.1172,0.79%,Producer manufacturing,Strong buy
IZTC,Invizyne Technologies Inc.D,14.90 USD,0.0276,124.98 K,—,—,—,—,—,—,Process industries,—
JEF,Jefferies Financial Group Inc.D,78.58 USD,0.0236,2.06 M,1.25,16.15 B USD,33.62,2.34 USD,0.684,1.59%,Finance,Buy
JPM,JP Morgan Chase & Co.D,248.55 USD,0.0155,8 M,0.87,699.75 B USD,13.83,17.98 USD,0.0731,1.85%,Finance,Buy
KD,"Kyndryl Holdings, Inc.D",33.05 USD,0.0172,5.07 M,1.71,7.68 B USD,—,−0.39 USD,0.9218,0.00%,Technology services,Strong buy
